BNF chapter,BNF class code,BNF class,Inference scope,Peak-to-trough ratio,95% CI lower,95% CI upper,Peak month,Trough month,Seasonal shape,Seasonal strength (STL),Trend strength (STL),Cross-year reproducibility,Distribution,Inference method,HAC bandwidth capped,Class q (BH; all eligible classes),Meaningful seasonality
Infections,05.01.07,Some other antibacterials,Primary inferential,1.056,1.037,1.085,Sep,Apr,Unimodal,0.161,0.940,0.259,Negbin,Negative binomial (LRT),"",0.00188,No
Skin,13.11.03,Cationic surfactants and soaps,Primary inferential,1.054,1.033,1.091,Apr,Jan,Bimodal,0.507,0.787,0.419,Poisson,Poisson + Newey–West HAC (Wald),No,0.00112,No
Skin,13.06.01,Topical preparations for acne,Primary inferential,1.052,1.032,1.104,Mar,Jun,Bimodal,0.694,0.467,0.523,Poisson,Poisson + Newey–West HAC (Wald),No,0.0462,No
Musculoskeletal and Joint Diseases,10.03.02,"Rubefacients, topical NSAIDs, capsaicin and poultices",Primary inferential,1.047,1.043,1.059,Sep,Jan,Bimodal,0.430,0.366,0.242,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,No
Central Nervous System,04.04.00,CNS stimulants and drugs used for ADHD,Primary inferential,1.046,1.026,1.080,Apr,Aug,Bimodal,0.619,0.986,0.508,Poisson,Poisson + Newey–West HAC (Wald),No,0.0252,No
Cardiovascular System,02.11.00,Antifibrinolytic drugs and haemostatics,Primary inferential,1.046,1.034,1.061,Aug,Dec,Bimodal,0.483,0.812,0.566,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,No
"Obstetrics, Gynaecology and Urinary-Tract Disorders",07.03.01,Combined hormonal contraceptives and systems,Primary inferential,1.042,1.029,1.062,Jul,Nov,Bimodal,0.484,0.969,0.430,Poisson,Poisson + Newey–West HAC (Wald),No,<0.001,No
Skin,13.01.01,Management of skin conditions,Primary inferential,1.036,1.026,1.060,May,Oct,Unimodal,0.263,0.950,0.230,Poisson,Poisson + Newey–West HAC (Wald),No,<0.001,No
Cardiovascular System,02.02.02,Loop diuretics,Primary inferential,1.034,1.026,1.050,Jul,Feb,Unimodal (non-sinusoidal),0.000,0.000,0.014,Poisson,Poisson + Newey–West HAC (Wald),No,<0.001,No
Central Nervous System,04.01.01,Hypnotics,Primary inferential,1.034,1.027,1.051,Feb,Jun,Unimodal (non-sinusoidal),0.311,0.298,0.068,Poisson,Poisson + Newey–West HAC (Wald),No,<0.001,No
Cardiovascular System,02.07.02,Vasoconstrictor sympathomimetics,Primary inferential,1.032,1.019,1.053,Nov,Apr,Unimodal (non-sinusoidal),0.160,0.988,-0.100,Poisson,Poisson + Newey–West HAC (Wald),No,<0.001,No
Skin,13.09.00,Shampoo and other preparations for scalp and hair conditions,Primary inferential,1.027,1.016,1.048,Sep,Jan,Bimodal,0.359,0.312,0.235,Poisson,Poisson + Newey–West HAC (Wald),Yes,0.00495,No
Nutrition and Blood,09.05.02,Phosphorus,Primary inferential,1.027,1.017,1.051,Sep,Mar,Unimodal,0.319,0.784,0.066,Poisson,Poisson + Newey–West HAC (Wald),No,0.0165,No
