BNF chapter,BNF class code,BNF class,BNF drug code,Drug (chemical substance),Inference scope,Peak-to-trough ratio,95% CI lower,95% CI upper,Peak month,Trough month,Seasonal shape,Seasonal strength (STL),Trend strength (STL),Distribution,Inference method,Parent class significant,Drug q (BH; all eligible drugs),Meaningful seasonality
Musculoskeletal and Joint Diseases,10.03.02,"Rubefacients, topical NSAIDs, capsaicin and poultices",1003020P0,Ibuprofen,Secondary exploratory,1.051,1.043,1.067,Sep,Jan,Bimodal,0.447,0.483,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,No
Gastro-Intestinal System,01.06.02,Stimulant laxatives,0106020P0,Sodium picosulfate,Secondary exploratory,1.051,1.033,1.090,Feb,Oct,Unimodal,0.492,0.812,Negbin,Negative binomial (LRT),Yes,0.0494,No
Central Nervous System,04.01.01,Hypnotics,0401010Y0,Zolpidem tartrate,Secondary exploratory,1.050,1.026,1.113,Feb,Sep,Unimodal (non-sinusoidal),0.000,0.726,Poisson,Poisson + Newey–West HAC (Wald),Yes,0.0488,No
Central Nervous System,04.01.01,Hypnotics,0401010AC,Sodium oxybate,Secondary exploratory,1.050,1.035,1.104,Feb,Jun,Unimodal,0.000,0.300,Poisson,Poisson + Newey–West HAC (Wald),Yes,0.0318,No
Eye,11.04.01,Corticosteroids,1104010K0,Fluorometholone,Secondary exploratory,1.050,1.029,1.073,Jun,Feb,Bimodal,0.180,0.231,Poisson,Poisson + Newey–West HAC (Wald),No,<0.001,No
Musculoskeletal and Joint Diseases,10.03.02,"Rubefacients, topical NSAIDs, capsaicin and poultices",1003020R0,Piroxicam,Secondary exploratory,1.048,1.041,1.070,Sep,Jan,Bimodal,0.057,0.671,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,No
Central Nervous System,04.01.01,Hypnotics,0401010Z0,Zopiclone,Secondary exploratory,1.048,1.039,1.066,Jan,Jun,Unimodal (non-sinusoidal),0.364,0.891,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,No
Nutrition and Blood,09.01.01,Iron-deficiency anaemias,090101100,Other oral iron preparations,Secondary exploratory,1.048,1.030,1.080,Sep,Feb,Unimodal,0.298,0.722,Poisson,Poisson (LRT),Yes,0.0113,No
Gastro-Intestinal System,01.07.01,Soothing haemorrhoidal preparations,0107010N0,Lidocaine hydrochloride,Secondary exploratory,1.047,1.029,1.073,Mar,Jun,Bimodal,0.516,0.600,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,No
"Obstetrics, Gynaecology and Urinary-Tract Disorders",07.03.01,Combined hormonal contraceptives and systems,0703010F0,Combined ethinylestradiol 30mcg,Secondary exploratory,1.047,1.035,1.067,Jul,Nov,Bimodal,0.489,0.967,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,No
Musculoskeletal and Joint Diseases,10.01.01,Non-steroidal anti-inflammatory drugs,1001010K0,Indometacin,Secondary exploratory,1.046,1.031,1.075,Jul,Nov,Unimodal,0.346,0.929,Negbin,Negative binomial (LRT),Yes,0.0136,No
Respiratory System,03.02.00,Corticosteroids (respiratory),0302000N0,Fluticasone propionate (Inhalation),Secondary exploratory,1.046,1.029,1.066,Dec,Aug,Bimodal,0.110,0.972,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,No
Infections,05.01.08,Sulfonamides and trimethoprim,0501080D0,Co-trimoxazole(Trimethoprim/sulfamethoxazole),Secondary exploratory,1.046,1.035,1.063,Dec,Aug,Bimodal,0.102,0.947,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,No
Cardiovascular System,02.11.00,Antifibrinolytic drugs and haemostatics,0211000P0,Tranexamic acid,Secondary exploratory,1.046,1.034,1.061,Aug,Dec,Bimodal,0.483,0.812,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,No
